DAY_KEY,FULL_DATE,DAY_OF_WEEK_NUMBER,DAY_OF_WEEK_NAME,MONTH_NUMBER,MONTH_NAME,YEAR,WEEK_IN_YEAR,DAY_IN_MONTH,WEEKDAY_FLAG
384,1/19/2011,4,Wednesday,1,January,2011,4,19,TRUE
385,1/20/2011,5,Thursday,1,January,2011,4,20,TRUE
386,1/21/2011,6,Friday,1,January,2011,4,21,TRUE
387,1/22/2011,7,Saturday,1,January,2011,4,22,FALSE
388,1/23/2011,1,Sunday,1,January,2011,5,23,FALSE
389,1/24/2011,2,Monday,1,January,2011,5,24,TRUE
390,1/25/2011,3,Tuesday,1,January,2011,5,25,TRUE
391,1/26/2011,4,Wednesday,1,January,2011,5,26,TRUE
392,1/27/2011,5,Thursday,1,January,2011,5,27,TRUE
393,1/28/2011,6,Friday,1,January,2011,5,28,TRUE
394,1/29/2011,7,Saturday,1,January,2011,5,29,FALSE
395,1/30/2011,1,Sunday,1,January,2011,6,30,FALSE
396,1/31/2011,2,Monday,1,January,2011,6,31,TRUE
397,2/1/2011,3,Tuesday,2,February,2011,6,1,TRUE
398,2/2/2011,4,Wednesday,2,February,2011,6,2,TRUE
399,2/3/2011,5,Thursday,2,February,2011,6,3,TRUE
400,2/4/2011,6,Friday,2,February,2011,6,4,TRUE
401,2/5/2011,7,Saturday,2,February,2011,6,5,FALSE
402,2/6/2011,1,Sunday,2,February,2011,7,6,FALSE
403,2/7/2011,2,Monday,2,February,2011,7,7,TRUE
404,2/8/2011,3,Tuesday,2,February,2011,7,8,TRUE
405,2/9/2011,4,Wednesday,2,February,2011,7,9,TRUE
406,2/10/2011,5,Thursday,2,February,2011,7,10,TRUE
407,2/11/2011,6,Friday,2,February,2011,7,11,TRUE
408,2/12/2011,7,Saturday,2,February,2011,7,12,FALSE
409,2/13/2011,1,Sunday,2,February,2011,8,13,FALSE
410,2/14/2011,2,Monday,2,February,2011,8,14,TRUE
411,2/15/2011,3,Tuesday,2,February,2011,8,15,TRUE
412,2/16/2011,4,Wednesday,2,February,2011,8,16,TRUE
413,2/17/2011,5,Thursday,2,February,2011,8,17,TRUE
414,2/18/2011,6,Friday,2,February,2011,8,18,TRUE
415,2/19/2011,7,Saturday,2,February,2011,8,19,FALSE
416,2/20/2011,1,Sunday,2,February,2011,9,20,FALSE
417,2/21/2011,2,Monday,2,February,2011,9,21,TRUE
418,2/22/2011,3,Tuesday,2,February,2011,9,22,TRUE
419,2/23/2011,4,Wednesday,2,February,2011,9,23,TRUE
